xpath,endpoint_type,schema_defined_type,container,endpoint
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS,Container,BANKRUPTCY_ACTIONS,BANKRUPTCY,BANKRUPTCY_ACTIONS
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION,Container,BANKRUPTCY_ACTION,BANKRUPTCY_ACTIONS,BANKRUPTCY_ACTION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyActionDate,DataPoint,MISMODate,BANKRUPTCY_ACTION,BankruptcyActionDate
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyActionType,Enumeration,BankruptcyActionEnum,BANKRUPTCY_ACTION,BankruptcyActionType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyActionTypeOtherDescription,DataPoint,MISMOString,BANKRUPTCY_ACTION,BankruptcyActionTypeOtherDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyAttorneyServiceReferralType,Enumeration,BankruptcyAttorneyServiceReferralEnum,BANKRUPTCY_ACTION,BankruptcyAttorneyServiceReferralType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyAttorneyServiceReferralTypeOtherDescription,DataPoint,MISMOString,BANKRUPTCY_ACTION,BankruptcyAttorneyServiceReferralTypeOtherDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyPaymentChangeNoticeReasonType,Enumeration,BankruptcyPaymentChangeNoticeReasonEnum,BANKRUPTCY_ACTION,BankruptcyPaymentChangeNoticeReasonType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyPaymentChangeNoticeReasonTypeOtherDescription,DataPoint,MISMOString,BANKRUPTCY_ACTION,BankruptcyPaymentChangeNoticeReasonTypeOtherDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_ACTIONS/BANKRUPTCY_ACTION/BankruptcyPlanAmendedType,Enumeration,BankruptcyPlanAmendedEnum,BANKRUPTCY_ACTION,BankruptcyPlanAmendedType
